type,name
andfågel,and
hönsfågel,höna
nattskärrfågel,nattskärra
seglarfågel,seglare
kolibrifågel,kolibri
trappfågel,trapp
gökfågel,gök
flyghönsfågel,flyghöns
duvfågel,duva
tranfågel,trana
doppingfågel,dopping
flamingofågel,flamingo
vadarfågel,vadare
lomfågel,lom
stormfågel,N/stormfågel
storkfågel,stork
sulfågel,sula
pelikanfågel,pelikan
hökfågel,hök
ugglefågel,uggla
härfågel,härfågel
näshornsfågel,näshornsfågel
hackspettartadefågel,hackspettar
falkfågel,falk
papegojfågel,papegojfågel
tätting,tätting
