svenskt namn,bengelskt namn
fågel,bird
aftonfalk,falco vespertinus
alfågel,clangula hyemalis
alförrädare,polysticta stelleri
alkekung,alle alle
alpjärnsparv,prunella collaris
alpseglare,tachymarptis melba
amerikansk bläsand,mareca americana
amerikansk knölsvärta,melanitta deglandi
amerikansk kopparand,oxyura jamaicensis
amerikansk kricka,anas carolinensis
amerikansk piplärka,anthus rubescens
amerikansk rördrom,botaurus lentiginosus
amerikansk sjöorre,melanitta americana
amerikansk skogssnäppa,tringa solitaria
amerikansk tundrapipare,pluvialis dominica
amurbuskskvätta,saxicola stejnegeri
amurfalk,falco amurensis
asiatisk kalanderlärka,melanocorypha bimaculata
atlantpetrell/madeirapetrell,pterodroma feae/pterodroma madeira
azurmes,cyanistes cyanus
backsvala,riparia riparia
balkansångare,phylloscopus orientalis
beigekindad skogstrast,catharus ustulatus
bergand,aythya marila
bergfink,fringilla montifringilla
berglärka,eremophila alpestris
bergortolan,emberiza buchanani
bergtajgasångare,phylloscopus humei
bergsångare,phylloscopus bonelli
berguv,bubo bubo
bivråk,pernis apivorus
biätare,merops apiaster
björktrast,turdus pilaris
blek tornseglare,apus pallidus
blå kärrhök,circus cyaneus
blåhake,luscinia svecica
blåkråka,coracias garrulus
blåmes,cyanistes caeruleus
blåtrast,monticola solitarius
blåvingad årta,spatula discors
bläsand,mareca penelope
bläsgås,anser albifrons
bofink,fringilla coelebs
brandkronad kungsfågel,regulus ignicapillus
brednäbbad simsnäppa,phalaropus fulicarius
bredstjärtad labb,stercorarius pomarinus
brokig kardinal,pheucticus ludovicianus
bronsibis,plegadis falcinellus
brun glada,milvus migrans
brun kärrhök,circus aeruginosus
brun törnskata,lanius cristatus
brunsula,sula leucogaster
brunand,aythya ferina
brunsångare,phylloscopus fuscatus
bruntrast,turdus naumanni
brushane,calidris pugnax
buskskvätta,saxicola rubetra
busksångare,acrocephalus dumetorum
bändelkorsnäbb,loxia leucoptera
cettisångare,cettia cetti
citronärla,motacilla citreola
dalripa,lagopus lagopus
dammsnäppa,tringa stagnatilis
domherre,pyrrhula pyrrhula
drillsnäppa,actitis hypoleucos
dubbelbeckasin,gallinago media
dubbeltrast,turdus viscivorus
duvhök,accipiter gentilis
dvärgbeckasin,lymnocryptes minimus
dvärgmås,hydrocoloeus minutus
dvärgrördrom,ixobrychus minutus
dvärgskarv,microcarbo pygmaeus
dvärgsnäppa,calidris minutilla
dvärgsparv,emberiza pusilla
dvärgspov,numenius minutus
dvärgsumphöna,zapornia pusilla
dvärgsångare,phylloscopus neglectus
dvärgsävsparv,emberiza pallasi
dvärguv,otus scops
dvärgörn,hieraaetus pennatus
ejder,somateria mollissima
eksångare,iduna pallida
eleonorafalk,falco eleonorae
enkelbeckasin,gallinago gallinago
entita,poecile palustris
eremitskogstrast,catharus guttatus
fasan,phasianus colchicus
fiskgjuse,pandion haliaetus
fiskmås,larus canus
fisktärna,sterna hirundo
fjällabb,stercorarius longicaudus
fjällgås,anser erythropus
fjällpipare,eudromias morinellus
fjällripa,lagopus muta
fjälluggla,bubo scandiacus
fjällvråk,buteo lagopus
flodsångare,locustella fluviatilis
fläckdrillsnäppa,actitis macularia
forsärla,motacilla cinerea
fältpiplärka,anthus campestris
fältsångare,acrocephalus agricola
garfågel,pinguinus impennis
glasögonflugsnappare,muscicapa dauurica
gluttsnäppa,tringa nebularia
gransångare,phylloscopus collybita
gravand,tadorna tadorna
grå flugsnappare,muscicapa striata
grågam,aegypius monachus
grågås,anser anser
gråhakedopping,podiceps grisegena
gråhalsad trast,turdus obscurus
gråhuvad sparv,emberiza spodocephala
gråhuvad vipa,vanellus cinereus
gråhäger,ardea cinerea
gråkråka,corvus cornix
grålira,ardenna grisea
gråsiska,acanthis flammea
gråsparv,passer domesticus
gråspett,picus canus
gråtrut,larus argentatus
gräsand,anas platyrhynchos
gräshoppsångare,locustella naevia
grässångare,cisticola juncidis
grön biätare,merops persicus
grönbena,tringa glareola
grönfink,chloris chloris
gröngöling,picus viridis
grönsiska,spinus spinus
grönsångare,phylloscopus sibilatrix
gulbrynad sparv,emberiza chrysophrys
gulbröstad snäppa,calidris bairdii
guldtrast,zoothera dauma
gulgrå sparv,emberiza cineracea
gulhämpling,serinus serinus
gulkindad kricka,sibirionetta formosa
gulnäbbad lira,calonectris borealis
gulsparv,emberiza citrinella
gulärla,motacilla flava
gyllensparv,emberiza aureola
gåsgam,gyps fulvus
gärdsmyg,troglodytes troglodytes
gök,cuculus canorus
göktyta,jynx torquilla
halsbandsflugsnappare,ficedula albicollis
havssula,morus bassanus
havstrut,larus marinus
havsörn,haliaeetus albicilla
hornuggla,asio otus
hudsonspov,limosa haemastica
hussvala,delichon urbicum
hämpling,linaria cannabina
härfågel,upupa epops
härmsångare,hippolais icterina
höksångare,curruca nisoria
hökuggla,surnia ulula
iberisk gransångare,phylloscopus ibericus
isabellastenskvätta,oenanthe isabellina
isabellatörnskata,lanius isabellinus
ismås,pagophila eburnea
jaktfalk,falco rusticolus
jorduggla,asio flammeus
jungfrutrana,grus virgo
järnsparv,prunella modularis
järpe,tetrastes bonasia
kaja,corvus monedula
kalanderlärka,melanocorypha calandra
kamtjatkapipare,anarhynchus mongolus
kanadagås,branta canadensis
karolinasumphöna,porzana carolina
kaspisk pipare,anarhynchus asiaticus
kaspisk trut,larus cachinnans
kattuggla,strix aluco
kaukasisk lundsångare,phylloscopus nitidus
kaveldunsångare,acrocephalus melanopogon
kejsarörn,aquila heliaca
kentsk tärna,thalasseus sandvicensis
klippduva,columba livia
klippkaja,corvus dauuricus
klippsparv,emberiza cia
klippsvala,ptyonoprogne rupestris
klykstjärtad stormsvala,hydrobates leucorhous
knipa,bucephala clangula
knölsvan,cygnus olor
kohäger,bubulcus ibis
koltrast,turdus merula
kolymasnäppa,calidris tenuirostris
kornknarr,crex crex
kornsparv,emberiza calandra
korp,corvus corax
korttålärka,calandrella brachydactyla
kragtrapp,chlamydotis macqueenii
kricka,anas crecca
kungsfiskare,alcedo atthis
kungsfågel,regulus regulus
kungsfågelsångare,phylloscopus proregulus
kungsörn,aquila chrysaetos
