altNamn,namn
ackspett,hackspett
adfågel,åd(a)
aftonfalk,aftonfalk
aftonfågel,taltrast
aikamies,tofsmes
ain(a)snejpa(-e),morkulla
aiterhyna,ljungpipare
aiv,uv
akarnaskrika,nötskrika
akorreka,kornknarr
al,alfågel
al,storlom
ala,sädesärla
al(a)sjå(o)ra,skata
al(a)sjå(o)ra,strandskata
grå albatross,gulnäbbad
grå albatross,grönnäbbad
grå albatross,gulnäbbad
grå albatross,svartbrynad
Albert,strandskata
albleck,strandskata
alblekta,strandskata
alblikt,strandskata
alblistra,strandskata
alblixt,beckasin
alblixt,strandskata
alblixta,beckasin
albläkta,strandskata
albrok,strandskata
albräcka,strandskata
albräckt,strandskata
aldersparv,gråsiska
ald(u)skrejka (ollon-),nötskrika
alfett,strandskata
alfit,skärfläcka
alfläkt,strandskata
alfågel,alfågel
alfågel,rödstjärt
alförrädare,
algubbe,alfågel
aliblikt,strandskata
alisparv,gråsiska
alka,sillgrissla
alka,tordmule
brednäbbad alka,tordmule
utländsk alka,lunnefågel
alkeknott,alkekung
alkekung,alkekung
alkiska ale-,alsiska
alkraka,ålkråka
alkäring,alfågel
all(a),alfågel
allall(e),alfågel
allamutta,alfågel
alle,alfågel
allenskrika,ålskrika
allfågel,alfågel
allgubbe,alfågel
allika,kaja
allkäring,alfågel
allo,alfågel
allopa,gråsiska
alloppa,gråsiska
al(l)pese,alfågel
alludd,alfågel
allverik,strandskata
allvrhyna,alvarhöna
alp,stenskvätta
alpa,stenskvätta
alpligg,strandskata
alplint,gråsiska
alplitt,gråsiska
alplitt,strandskata
alpseglare,klippseglare
alsiska,gråsiska
alskjora,nötskrika
alskogssparv,gråsiska
alskrika,nötskrika
alskräckja (ale-),gråsiska
alskräckja (ale-),nötskrika
alsparv,gråsiska
altita,mes
altrast,rödvinge
altyska,strandskata
alvargremla,ljungpipare
alvargrim,ljungpipare
alvarhyna,ljungpipare
alvarhöna,ljungpipare
alvarhöna,större strandpipare
alvigg,strandskata
alviggel,strandskata
alvrick(el),strandskata
alvräkel,strandskata
Amhersts fasan,fasan
and,gräsand
grimmad and,bergand
rödgul and,rostand
Stellers and,alförrädare
and,turkisk and
and(d)rake,and
andgubbe,and
andhök,duvhök
andi,gräsand
andrik,gräsand
anka,alfågel
anka,gräsand
anka,tam and
ankbonde,tamand
ankdrake,anka
ankesgubbe,anka
ard,småskrake
ardasparr (-sparv),steglitsa
ardasparr (-sparv),gråsiska
arderspärv,gråsiska
arla,sädesärla
arn (åm),örn
arnaglada,örnglada
art (-a),kricka
art (-a),årta
artknörel artes,kricka
artknörel artes,årta
artokarl,kricka
artokarl,årta
arrt(e),kricka
arrt(e),årta
asfågel,asgam
asgam,asgam
augustisnäppa,myrspov
austfugel,storlom
auv,uv
azurmes,azurmes
backsvala,backsvala
backsvala,tornsvala
bagdett,klippduva
bankivahöns,bankivahöns
bankivatupp,bankivahöns
bantamhöns,bankivahöns
barkspännare,spillkråka
Barrows dykand,dykand
Bartrams snäppa,snäppa
basegås,bassgås
baskakung,gärdsmyg
bassgås,havssula
bastardnäktergal,bastardnäktergal
bastardripa,bastardripa
bastardsångare,bastardnäktergal
bauta,svärtan
dubbel beckasin,dubbelbeckasin
enkel beckasin,enkelbeckasin
halvenkel beckasin,halvenkel beckasin
beckasin,drillsnäppa
beckasin,dubbelbeckasin
beckasin,enkelbeckasin
beckasinand,kricka
beckasinsnäppa,beckasinsnäppa
belmes,talgoxe
bergand,bergand
bergand,småskrake
bergfink,bergfink
bergfink,bofink
bergfink,pilfink
bergfågel,korp
berggjuse,gråtrut
berglabb,fjällabb
berglärka,berglärka
bergsgjause,berggjuse
bergshammar,havssula
bergsman,havssula
bergssvala,hussvala
bergstare,ringtrast
bergstöt,berguv
bergsvala,tornsvala
bergträdkrypare,bergträdkrypare
bergulv,berguv
berguv,berguv
bivråk,bivråk
biätare,biätare
bjena (-u),orrhöna
bjuggbit,kornknarr
björkdrossel,björktrast
björkfink,bofink
björklus,gråsiska
björksiska,björksiska
björkslisk,gråsiska
björksparv,gråsiska
björktrast,björktrast
björktrast,taltrast
blacka,nattblacka
blael,blåärla
blagammr,grågam
blankare,ejder
blankhane,knipa
blankhane,storskrake
blankknip,knipa
blar hrafn,korp
blekamutta,alfågel
blessand,bläsand
blika,knipa
blika-gubbe,knipa
blika-käring,knipa
blika-mutta,knipa
blike,knipa
blindtnes,blåmes
blisand,bläsand
blisand,sothöna
blisand,stjärtand
blistergås,fjällgås
blisterhök,duvhök
blistersvärta,sjöorre
blåand,knipa
blådu(v)a,skogsduva
blåfot,grönlandsfalk
blåfot,fiskgjuse
blågås,snögås
blåhake,blåhakesångare
blåhake,Mellaneuropas blåhake
blåhake,norsk blåhake
blåhake,vitstjärnig blåhake
blåhakesångare 73
blåhals,gräsand
blåhane,blåhakesångare
blåkråka,blåkråka
blåkråka,nötskrika
blåmes,blåmes
blåringärla,sädesärla
blåskjura,nötskrika
blåskrika,nötskrika
blåskättu,nötskrika
blåspett,nötväcka
blåspit,nötväcka
blåärla,sädesärla
bläcka (-e),tofsvipa
bläsa,bläsand
bläsand,bläsand
bläsgås,bläsgås
lappmarkens bläsgås,fjällgås
blötas,gröngöling
bofink,bofink
bomfalk,bomfalk 
bondorre,kråka
bonnorre,kråka
borgmästare(mås),vittrut
braminand,rostand
brandgås,gravand
brandgås,prutgås
brevduva,klippduva
bringe,alfågel
amerikansk brockfågel,amerikansk brockfågel
grå brockfågel,kustpipare
brockfågel,ljungpipare
broddjärpe,rapphöna
brokand,gravand
brokspettar,spett
brokveling,svärta
brotateta,talgoxe
brotateta,mes
brunall,alfågel
brunand,brunand
brunkopf,brunand
brunkopp,brunand
brunnacke,bläsand
brunnacke,brunand
brunnacke,knipa
liten brunrock,bläsand;
liten brunrock,småvadare
brunta,brunand
brushane,brushane
bråt-teta (-tita),brotateta
bråttomfågel,grå flugsnappare
bräkbock (bräkar-),enkelbeckasin
bräkbock (bräkar-),nattskärra
bräkfågel,bergfink
bräksparv,bergfink
brätjabottjen,bräkbock
bullare,blåmes
bums,röbums
burrvina,kornknarr
buskeskvätta,buskskvätta
busklus,Sylvia-arter
busklus,kungsfågel
buskpracka,småskrake
buskskvätta,buskskvätta
svarthakad buskskvätta,svarthalsad buskskvätta
svarthalsad buskskvätta,svarthalsad buskskvätta
svartstrupig buskskvätta,svarthalsad buskskvätta
vanlig buskskvätta,buskskvätta
vithakad buskskvätta,buskskvätta
busksmyg,trädgårdssångare
busksparvar,Emberiza-arter
buskstare,koltrast
busksångare,långnäbbad rörsångare
svarthalsad buskärla,svarthalsad buskskvätta
bydi,större strandpipare
bågpytta,spovsnäppa
bäckastränte,enkelbeckasin
bälghandske,tofsvipa
bändelkorsnäbb,bändelkorsnäbb
bärskrika,nötskrika
bönskrika,nötskrika
börring,gråsparv
citronfink,citronfink
dacka,ejderhona
dagavetare,tupp
dagavetering,tupp
dagaveterning,tupp
dalarölots,smålom
dalmoripa,dalmoripa
dalripa (-rypa)msnöripa
dalrip-orre,dalrip-orre
dammsnäppa,dammsnäppa
dilaskarv,storskarv
dipping,storskrake
domherr(e),domherr(e)
dompapp,domherr(e)
domsmock,domherre
donare,knipa
doppand,bergand
doppand,knipa
doppand,sjöorre
doppand,svärta
doppfågel,storskrake
gråstrupig dopping,gråhakedopping
rödhalsad dopping,gråhakedopping
svarthalsad dopping,svarthalsad dopping
svarthuvad dopping,svarthakedopping
sydländsk doppingmsvarthalsad dopping
vitstrupig doppingmskäggdopping
dopping,knipa
dopping,skäggdopping
doppnäbb,s käggdopping
Dougalls tärna,tärna
drakemgräsand
draresp,morkulla
drillsnäppa,drillsnäppa
drip (dryp),hackspett
droksel,björktrast
droppasparr (-sparv),gransångare
droppasparr (-sparv),ortolansparv
rosenfärgad drossel,rosenstare
drottning Kerstis kråka,kråka
dryp (drip),spett
drypkråka,spillkråka
dubbelbeckasin,dubbelbeckasin
dubbelbeckasin,ljungpipare
dubbelbeckasin,strandskata
dubbelbeckasin,roskarl
dubbeltrast,dubbeltrast
dubbeltärna,kentsk tärna
duck,gråduk
dullika,skogsduva
dumbom,sidensvans
dumhugge,tallbit
dumjöns,tallbit
dumskalle,tallbit
dumsnut,domherre
dumsnut,tallbit
duva (-o),koll
duva (-o),ringduva
duva (-o),skogsduva
bredstjärtad duva (-o) bredstjärtad,klippduva
fjösbent duva(o),klippduva
duvhök,duvhök
rysk duvhök,rysk duvhök
sydlig duvhök,sydlig duvhök
dvärgbeckasinmhalvenkel beckasin
dvärgfalk,dvärgfalk
dvärggåsmfjällgås
dvärghäger,dvärghäger
dvärghöns,bankivahöns
dvärglira,dvärglira
dvärglommindre strandpipare
dvärgmås,dvärgmås
dvärgpytta,mosnäppa
dvärgrördrom (-drum),dvärgrördrom (-drum)
dvärgskarv,dvärgskarv
dvärgsparv,dvärgsparv
dvärgsumphöna,dvärgsumphöna
dvärgtrapp,småtrapp
dvärgtärna,dvärgtärna
dvärguv,dvärgtärna
Barrows dykand,islandsknipa
rödbrun dykandmvitögad dykand
rödhalsad dykand,brunand
rödhuvad dykand,rödhuvad dykand
vitögad dykand,rövitögaddhuvad dykand
dykarestormsvala,mindre lira
dylp-ånn (-and),årta
dyngkråka,kråka
dyngkråka,nötskrika
dyngsparv,gråsparv
dysnäppa,halvenkel beckasin
dödmansfågel,skata
döpare,skäggdopping
döv-Matts-fågel,lavskrika
döv-Matts-fågel,nötskrika
eider,ejder
einsneipe,morkulla
eisenfågel,kungsfiskare
ejder,ejder
ejderfågel,ejder
ejdergås,ejder
ejsand,isand
ejsskräcka,isskräcka
ekduva,skogsduva
eklus,trädkrypare
ekstare,stare
elakfågel,sparvhök
elakfågel,rovfågel
eldspik,stare
eleonorafalk,eleonorafalk
Elof,spetsstjärtad labb
emu,struts
eneskata,nötskrika
eneskrika,eneskrika
enkelbeckasin,enkelbeckasin
enkelbeckasin,skogssnäppa
enkelbeckasin,större strandpipare
enskata,nötskrika
enskrika,lavskrika
enstare,koltrast
entita,kärrmes
entita,nordisk mes
entita,mes
entrast,björktrast
entyta,kärrmes
entyta,mes
eremit,nötväcka
erisk,gråsiska
erits,gråsiska
etterhöna,ljungpipare
et-ut,spetsstjärtad labb
rödbent falk,aftonfalk
Sydgrönlands falk,grönlandsfalk
falkvråk,falkvråk
fasan,fasan
jaktfasan,fasan
Amhersts,fasan
